domain	final_url	status	tech_stack	jsonld_event_count	events_subpage	tribe_api	tier_guess	candidate_urls
afrocaribfestival.com	https://afrocaribfestival.com/	200	wordpress,elementor	0	yes	no	T1	
baddogtheatre.com	https://baddogtheatre.com/	200	squarespace	0	yes	no	T2	https://baddogtheatre.com/whats-on|https://baddogtheatre.com/2026-season-2|https://baddogtheatre.com/student-showcases|https://baddogtheatre.com/scholarships|https://baddogtheatre.com/thebucketshow|https://baddogtheatre.com/hire-us|https://baddogtheatre.com/work-exchange-program|https://baddogtheatre.com/compassion-fund
babypointgates.ca	http://www.babypointgates.ca/	200	wordpress	0	no	no	T1	http://www.babypointgates.ca/new/calendar/
asialiciouscarnival.com	https://asialiciouscarnival.com/	200	wordpress,elementor	0	yes	no	T1	https://asialiciouscarnival.com/events/|https://asialiciouscarnival.com/events/#events-schedule|https://asialiciouscarnival.com/events/#food|https://asialiciouscarnival.com/events/#feature-performer|https://asialiciouscarnival.com/about/#past-events|https://asialiciouscarnival.com/contact/#become-performer
badnewdays.com	https://www.badnewdays.com/	200	wordpress,wix,elementor	0	no	no	T2	https://buddiesinbadtimes.com/show/last-landscape/
bayviewleasidebia.com	https://bayviewleasidebia.com/	200	wordpress,tribe-events	0	yes	yes	T1	https://bayviewleasidebia.com/events/|https://youtu.be/rN3NaSUI8SU
bangladeshi.ca	https://www.bangladeshi.ca/	200	wordpress,wix,elementor	0	yes	no	T1	https://www.bangladeshi.ca/projects-programs|https://www.bangladeshi.ca/cultural|https://www.bangladeshi.ca/calendar
beachunitedchurch.com	https://beachunitedchurch.com/community-engagement/environmental-justice/	200	wordpress	0	yes	yes	T1	https://beachunitedchurch.com/music-concerts/|https://beachunitedchurch.com/music-concerts/choir/|https://beachunitedchurch.com/music-concerts/choir/testimonials/|https://beachunitedchurch.com/music-concerts/choir/more-videos/|https://beachunitedchurch.com/music-concerts/jazz-reflection-concert-series/|https://beachunitedchurch.com/music-for-the-soul-concert-series/|https://beachunitedchurch.com/music-concerts/jam-nite-2/|https://beachunitedchurch.com/music-concerts/organ-stops/|https://beachunitedchurch.com/community-engagement/interfaith-lunch-program/|https://beachunitedchurch.com/calendar/calendar-2/
bayviewvillage.org	https://www.bayviewvillage.org/	200	wordpress	0	no	no	T1	https://www.bayviewvillage.org/p/Upcoming-Events|https://www.bayviewvillage.org/p/Past-Events|https://www.bayviewvillage.org/p/Calendar-of-Events|https://www.bayviewvillage.org/p/Kids-Events-and-Activities|https://www.eventbrite.ca/e/1979470914792?aff=oddtdtcreator|https://www.eventbrite.ca/e/1980499757087?aff=oddtdtcreator|https://www.eventbrite.ca/e/1982640350660?aff=oddtdtcreator|https://www.eventbrite.ca/e/1982396056971?aff=oddtdtcreator|https://www.eventbrite.ca/e/1982531919339?aff=oddtdtcreator|https://willpower-sgoldenberg.eventbrite.ca/
beachesjazz.com	https://www.beachesjazz.com/	200	wordpress,wix,elementor	0	yes	no	T1	https://www.beachesjazz.com/events-1|https://www.beachtowel.live|https://www.beachtowel.live/|https://www.beachesjazz.com/blank
bigonbloorfestival.com	https://bigonbloorfestival.com	0	unknown	0	no	no	SKIP	
bettabreederscanada.com	https://www.bettabreederscanada.com/	200	wix,elementor	0	yes	no	T2	https://www.bettabreederscanada.com/ibc-district-show-files|https://www.bettabreederscanada.com/_files/ugd/c5ab21_9dad1052a28e40c9b936d04963d40ddb.pdf|https://www.bettabreederscanada.com/_files/ugd/c5ab21_251fdcfc3e944b78a6ddbe7bc4c0b88c.pdf
belgiandaysintoronto.org	https://belgiandaysintoronto.org/	200	static	0	no	no	SKIP	
areca.info	https://areca.info/	200	wordpress	0	no	no	SKIP	
bangiyaparishad.ca	https://bangiyaparishad.ca/	200	wordpress,elementor	0	yes	no	T1	https://bangiyaparishad.ca/upcoming-events/|https://bangiyaparishad.ca/past-events/|https://bangiyaparishad.ca/fundraising2026/|https://bangiyaparishad.ca/saraswati-puja-utsav-2026/|https://bangiyaparishad.ca/seniors-wellness-day-nov-2025/|https://bangiyaparishad.ca/an-evening-of-bengali-classical-raga-sangeet/|https://bangiyaparishad.ca/calendar/
bikepoloto.org	https://bikepoloto.org/	200	static	0	no	no	SKIP	
bikebrigade.ca	https://www.bikebrigade.ca/	200	squarespace	0	no	no	T2	
bloodinthesnow.ca	https://bloodinthesnow.ca/	200	static	0	no	no	T1	https://www.goelevent.com/BITS/Donate/Campaign|https://www.goelevent.com/BITS/Pass/Sale|https://bloodinthesnow.ca/BITSScreeningPrograms&FAQ.html
bainco-op.ca	https://bainco-op.ca/	200	wordpress,elementor	0	yes	no	T1	https://bainco-op.ca/calendar/
bitcoinbay.ca	https://bitcoinbay.ca/	200	static	0	no	no	SKIP	
bloorbythepark.com	https://www.bloorbythepark.com/	200	squarespace	0	yes	no	T2	https://www.bloorbythepark.com/events
bloordalevillagebia.com	http://www.bloordalevillagebia.com/	200	static	0	yes	no	T1	http://www.bloordalevillagebia.com/events.html|http://www.bloordalevillagebia.com/microgorant-program.html
bloorcourttoronto.com	https://www.bloorcourttoronto.com/	200	static	0	yes	no	T1	https://www.bloorcourttoronto.com/facade-improvement-program.html|https://www.bloorcourttoronto.com/bloorcourt-microgrant-program.html|https://www.bloorcourttoronto.com/events.html|https://www.bloorcourttoronto.com/bloorcourt-events.html
broadbentinstitute.ca	https://broadbentinstitute.ca/	200	wordpress	0	yes	no	T1	https://broadbentinstitute.ca/emerging-leaders-program/|https://broadbentinstitute.ca/events/|https://broadbentinstitute.ca/events/summit2026/
breakthroughsfilmfestival.com	https://www.breakthroughsfilmfestival.com/	200	squarespace	0	no	no	T2	
bloorannex.ca	https://www.bloorannex.ca/	200	wordpress	0	no	no	T1	https://www.bloorannex.ca/category/news-events|https://www.bloorannex.ca/news-events/share-your-thoughts-on-the-bloor-annex-bias-plans-for-seaton-park.html|https://www.bloorannex.ca/news-events/streets-of-toronto-10-essential-local-shops-to-visit-in-the-annex.html|https://www.bloorannex.ca/news-events/in-the-news-new-boutique-hotel-opens-on-march-1.html|https://www.bloorannex.ca/category/news-events/new-businesses|https://www.bloorannex.ca/news-events/treasures-treats-at-tsp.html|https://www.bloorannex.ca/news-events/tranzac-call-for-residencies.html|https://www.bloorannex.ca/news-events/please-join-us-on-january-19-to-learn-about-the-bloor-annex-bias-plans-for-seaton-park.html|https://www.bloorannex.ca/category/news-events/meetings|https://www.bloorannex.ca/news-events/coming-up-at-the-tranzac-my-life-as-a-cyborg-a-zinemaking-event.html
belarusians.ca	https://belarusians.ca/be/	200	wordpress	0	yes	no	T1	https://belarusians.ca/calendar-by/|https://belarusians.ca/events/|https://belarusians.ca/our-programs/yavarovy-ljudzi/|https://belarusians.ca/our-programs/yavarovy-dzieci/|https://belarusians.ca/our-programs/belarusian-school-toronto/|https://belarusians.ca/our-programs/french-language-for-adults/
bloorwestvillagebia.com	https://www.bloorwestvillagebia.com/	200	wordpress,tribe-events	0	no	no	T1	https://www.bloorwestvillagebia.com/events-calendar/|https://www.bloorwestvillagebia.com/event/2026-easter-scavenger-hunt/|https://www.bloorwestvillagebia.com/event/easter-community-colouring-event-activity/|https://www.instagram.com/p/DUbeYIBkQWA/
beingnbecoming.org	https://beingnbecoming.org/	200	wordpress	0	no	no	T1	https://www.eventbrite.ca/e/justice-theory-and-practice-tickets-1983208213152?utm-campaign=social&utm-content=attendeeshare&utm-medium=discovery&utm-term=listing&utm-source=cp&aff=ebdsshcopyurl
brazilfest.ca	https://brazilfest.ca/	200	wordpress	0	no	no	SKIP	
butterflysw.org	https://www.butterflysw.org/	200	wix,elementor	0	no	no	T2	https://www.butterflysw.org/butterfly-voices
bufferfestival.com	https://bufferfestival.com/	200	wordpress	0	no	no	SKIP	
broadviewdanforthbia.ca	https://www.broadviewdanforthbia.ca/	200	static	0	no	no	T1	https://www.broadviewdanforthbia.ca/news/item/1108-join-us-for-two-magical-holiday-events-on-the-danforth|https://www.broadviewdanforthbia.ca/2014-archive
cabbagetownsouth.ca	https://cabbagetownsouth.ca/	200	wordpress,tribe-events,elementor	0	yes	yes	T1	https://cabbagetownsouth.ca/events/|https://cabbagetownsouth.ca/events/list/?eventDisplay=past
budweiser-stage.com	https://www.rbcamphitheatre.com/	200	nextjs	10	yes	no	T0	https://www.rbcamphitheatre.com/shows|https://www.rbcamphitheatre.com/premium-season-seats|https://www.rbcamphitheatre.com/special-events|https://www.ticketmaster.ca/all-things-go-music-festival-saturday-toronto-ontario-06-06-2026/event/1000643551635934|https://www.ticketmaster.ca/khalid-its-always-summer-somewhere-tour-toronto-ontario-05-24-2026/event/1000638515CA0A9B|https://www.ticketmaster.ca/kid-cudi-presents-the-rebel-ragers-toronto-ontario-05-26-2026/event/1000643096409FDF|https://www.ticketmaster.ca/cake-toronto-ontario-05-28-2026/event/1000635BBDE1DDCD|https://www.ticketmaster.ca/martin-garrix-americas-tour-toronto-ontario-05-29-2026/event/1000637AB6297C80|https://www.ticketmaster.ca/martin-garrix-americas-tour-toronto-ontario-05-30-2026/event/10006388D7ACB280|https://www.ticketmaster.ca/martin-garrix-americas-tour-toronto-ontario-05-31-2026/event/10006389B9C6CF1E
burdockbrewery.com	https://burdockbrewery.com/	200	static	0	no	no	T1	https://burdockbrewery.com/pages/music-hall
canfilmfest.ca	https://www.canfilmfest.ca/	200	squarespace	0	no	no	T2	
canadianlatinfest.org	https://www.canadianlatinfest.org/	200	static	0	no	no	SKIP	
cias.org	https://www.cias.org/	200	wordpress	0	no	no	T1	https://www.cias.org/|https://canadian-international-air-show.square.site/|https://www.facebook.com/torontoairshow|https://www.abbotsfordairshow.com/|https://www.airshowlondon.com/
cabbagetownto.com	https://www.cabbagetownto.com/	200	squarespace	0	yes	no	T2	https://www.cabbagetownto.com/past-events|https://www.cabbagetownto.com/events
camkmeetup.ca	https://www.camkmeetup.ca/	200	squarespace	0	no	no	T2	
peruviantown.com	https://www.peruviantown.com/	200	static	0	no	no	SKIP	
cccru.ca	https://cccru.ca/	200	static	0	no	no	SKIP	
bloor-yorkville.com	https://www.bloor-yorkville.com/	200	wordpress,elementor	0	yes	no	T1	https://www.bloor-yorkville.com/by-events/|https://www.bloor-yorkville.com/by-events/annual-events/|http://www.bloor-yorkville.com/events|http://www.bloor-yorkville.com/events/|https://www.eventbrite.ca/e/birroteca-trivia-night-tickets-917315434157
indigenoustheatre.com	https://www.indigenoustheatre.com/	200	squarespace	0	no	no	T2	https://www.indigenoustheatre.com/programs|https://www.indigenoustheatre.com/news-events
cecilcentre.ca	http://cecilcentre.ca/	200	wordpress	0	yes	no	T1	http://cecilcentre.ca/calendar/|https://secure.toronto.ca/webapps/feps_donateto/?whereToGive=Invest%20in%20Community%20and%20People&program=Cecil%20Community%20Centre%20General%20Donations|http://cecilcentre.ca/calendar
canadianclub.org	https://www.canadianclub.org/	200	wordpress,tribe-events,elementor	0	no	yes	T2	https://www.canadianclub.org/upcoming-events/|https://www.canadianclub.org/events/indigenous-leadership-and-canadas-next-generation-of-major-projects/|https://www.canadianclub.org/events/rethinking-canadas-tax-system-what-works-what-doesnt-whats-next/|https://www.canadianclub.org/events/the-honourable-dominic-leblanc/|https://www.canadianclub.org/events/the-honourable-lena-metlege-diab/|https://www.canadianclub.org/events/the-economic-imperative-for-healthcare-renewal/|https://www.canadianclub.org/events/selling-to-our-strengths-unlocking-canadas-trade-corridors/
chariotfest.ca	https://www.chariotfest.ca/	200	wix,elementor	0	no	no	T2	https://www.chariotfest.ca/centre-island/arts-%26-culture
backroomcomedyclub.com	https://backroomcomedyclub.com/	200	wordpress,elementor	0	no	no	T2	https://backroomcomedyclub.com/showtimes/|https://backroomcomedyclub.com/showtimes|https://backroomcomedyclub.com/product/friday-night-comedy-show|https://backroomcomedyclub.com/product/saturday-night-comedy-show|https://backroomcomedyclub.com/saturday-night-comedy-show|https://backroomcomedyclub.com/product/sunday-night-comedy-show|https://backroomcomedyclub.com/product/wednesday-night-comedy-show|https://backroomcomedyclub.com/product/thursday-night-comedy-show|https://backroomcomedyclub.com/product/20-20-perspective-comedy-show-series/|https://backroomcomedyclub.com/product/stephen-rannazzisi-live-backroom-comedy-club-specialty-shows/
charlesstreetvideo.com	https://charlesstreetvideo.com/	200	static	0	yes	no	T1	
cityplacefortyorkbia.com	https://www.cityplacefortyorkbia.com/	200	wordpress,wix,elementor	0	no	no	T2	https://www.cityplacefortyorkbia.com/copy-of-art-and-events
caribbeantalesfestival.com	https://caribbeantalesfestival.com/	200	wordpress,tribe-events,elementor	0	yes	yes	T1	https://caribbeantalesfestival.com/2025-program/|https://caribbeantalesfestival.com/tickets-and-festival-passes/|https://ctff25.eventive.org/films/688129a79ae9117bced8b466|https://ctff25.eventive.org/films/6880ba3cc7b4ab728db65fc2|https://ctff25.eventive.org/films/68813abd99d5000d4ec3e834|https://ctff25.eventive.org/films/68813579ef950ee57646fd53|https://ctff25.eventive.org/films/6880c081bd4475ffb8d51608|https://ctff25.eventive.org/films/6880bc89c7b4ab728db6adbd|https://ctff25.eventive.org/films/6880f14f524d0609b9914b11|https://ctff25.eventive.org/films/68813761b5cdcf2c7f5762df
churchwellesleyvillage.ca	https://www.churchwellesleyvillage.ca/	200	wordpress,wix,elementor	0	yes	no	T1	https://www.churchwellesleyvillage.ca/events
